DATE,KYUR,INUR,AKUR,HIUR
1990-07-01,5.9,4.9,7.200,2.6
1990-08-01,6.0,5.0,7.200,2.600
1990-09-01,6.2,5.0,7.3,2.5
1990-10-01,6.4,5.2,7.300,2.5
1990-11-01,6.6,5.4,7.4,2.500
1990-12-01,6.9,5.6,7.5,2.5
1991-01-01,7.1,5.8,7.6,2.5
1991-02-01,7.3,5.9,7.8,2.600
1991-03-01,7.5,6.0,8.0,2.6
1991-04-01,7.5,6.0,8.100,2.700
1991-05-01,7.500,5.9,8.200,2.7
1991-06-01,7.400,5.7,8.3,2.7
1991-07-01,7.400,5.5,8.4,2.7
1991-08-01,7.300,5.4,8.5,2.8
1991-09-01,7.2,5.4,8.6,2.9
1991-10-01,7.2,5.5,8.7,3.0
1991-11-01,7.200,5.6,8.9,3.1
1991-12-01,7.2,5.7,9.0,3.2
1992-01-01,7.1,5.8,9.1,3.4
1992-02-01,7.1,5.9,9.2,3.6
1992-03-01,7.0,6.1,9.1,3.7
1992-04-01,6.9,6.2,9.1,3.9
1992-05-01,6.9,6.3,9.100,4.0
1992-06-01,6.900,6.3,9.000,4.2
1992-07-01,6.900,6.3,8.9,4.3
1992-08-01,6.900,6.3,8.900,4.4
1992-09-01,6.900,6.2,8.700,4.5
1992-10-01,6.8,6.0,8.600,4.5
1992-11-01,6.7,5.9,8.400,4.6
1992-12-01,6.6,5.8,8.200,4.6
1993-01-01,6.6,5.7,8.000,4.6
1993-02-01,6.5,5.6,7.900,4.5
1993-03-01,6.5,5.6,7.9,4.4
1993-04-01,6.5,5.6,7.8,4.3
1993-05-01,6.4,5.6,7.8,4.3
1993-06-01,6.3,5.7,7.8,4.2
1993-07-01,6.2,4.7,7.8,4.200
1993-08-01,6.100,4.500,7.7,4.200
1993-09-01,5.900,4.4,7.7,4.300
1993-10-01,5.8,4.5,7.7,4.4
1993-11-01,5.8,4.7,7.7,4.5
1993-12-01,5.7,4.8,7.8,4.7
1994-01-01,5.600,4.8,7.8,4.9
1994-02-01,5.600,4.8,7.8,5.0
1994-03-01,5.500,4.8,7.9,5.1
1994-04-01,5.4,4.8,7.800,5.2
1994-05-01,5.400,4.7,7.8,5.2
1994-06-01,5.3,4.7,7.700,5.2
1994-07-01,5.300,4.7,7.600,5.3
1994-08-01,5.300,4.7,7.6,5.3
1994-09-01,5.300,4.7,7.5,5.3
1994-10-01,5.2,4.5,7.400,5.3
1994-11-01,5.200,4.4,7.3,5.2
1994-12-01,5.100,4.3,7.2,5.1
1995-01-01,5.100,4.2,7.1,5.0
1995-02-01,5.100,4.3,7.1,5.1
1995-03-01,5.200,4.4,7.1,5.2
1995-04-01,5.300,4.5,7.100,5.3
1995-05-01,5.400,4.5,7.2,5.5
1995-06-01,5.5,4.5,7.3,5.6
1995-07-01,5.600,4.5,7.3,5.7
1995-08-01,5.600,4.5,7.4,5.7
1995-09-01,5.5,4.4,7.5,5.8
1995-10-01,5.500,4.4,7.500,5.8
1995-11-01,5.500,4.5,7.600,5.8
1995-12-01,5.5,4.5,7.700,5.8
1996-01-01,5.400,4.4,7.700,5.9
1996-02-01,5.400,4.4,7.700,5.9
1996-03-01,5.400,4.3,7.6,6.0
1996-04-01,5.4,4.3,7.6,6.0
1996-05-01,5.300,4.2,7.5,5.9
1996-06-01,5.200,4.0,7.4,5.9
1996-07-01,5.200,3.9,7.3,5.8
1996-08-01,5.2,3.8,7.2,5.8
1996-09-01,5.3,3.7,7.2,5.9
1996-10-01,5.5,3.600,7.2,5.9
1996-11-01,5.6,3.500,7.3,6.0
1996-12-01,5.7,3.500,7.4,6.0
1997-01-01,5.8,3.400,7.4,6.0
1997-02-01,5.7,3.400,7.3,6.0
1997-03-01,5.6,3.400,7.3,6.0
1997-04-01,5.5,3.400,7.2,6.0
1997-05-01,5.4,3.4,7.1,6.0
1997-06-01,5.3,3.4,7.0,6.0
1997-07-01,5.2,3.5,6.9,6.0
1997-08-01,5.1,3.5,6.8,5.9
1997-09-01,5.0,3.5,6.7,5.9
1997-10-01,4.8,3.4,6.6,5.8
1997-11-01,4.7,3.4,6.5,5.8
1997-12-01,4.600,3.3,6.4,5.7
1998-01-01,4.500,3.2,6.3,5.7
1998-02-01,4.4,3.1,6.2,5.7
1998-03-01,4.4,3.000,6.2,5.7
1998-04-01,4.4,2.900,6.2,5.8
1998-05-01,4.5,2.900,6.300,5.8
1998-06-01,4.5,2.900,6.300,5.9
1998-07-01,4.5,3.000,6.4,5.9
1998-08-01,4.6,3.0,6.400,6.0
1998-09-01,4.600,3.1,6.400,6.0
1998-10-01,4.600,3.1,6.400,5.9
1998-11-01,4.600,3.0,6.400,5.8
1998-12-01,4.5,2.9,6.4,5.7
1999-01-01,4.600,2.9,6.500,5.6
1999-02-01,4.600,2.8,6.5,5.5
1999-03-01,4.600,2.8,6.5,5.5
1999-04-01,4.600,2.8,6.600,5.4
1999-05-01,4.600,2.8,6.5,5.3
1999-06-01,4.600,2.9,6.500,5.3
1999-07-01,4.600,3.000,6.4,5.2
1999-08-01,4.500,3.0,6.400,5.1
