"Year","state","fmhpi"
2001,"CA",105.647031026667
2002,"CA",119.860313490833
2003,"CA",139.323053705833
2004,"CA",170.137622285
2005,"CA",202.629482214167
2006,"CA",212.769904264167
2007,"CA",199.117107891667
2008,"CA",155.773532549167
2009,"CA",134.900210520833
2010,"CA",135.657511436667
2011,"CA",127.571044363333
2012,"CA",131.973814345833
2013,"CA",157.188282888333
2014,"CA",173.8435251225
2015,"CA",186.133790125833
2016,"CA",198.878729526667
2017,"CA",213.280249966667
2018,"CA",227.462020790833
2019,"CA",232.97976857
2020,"CA",247.123653635833
2021,"CA",284.300092711111
1975,"CO",20.4046420033333
1976,"CO",21.8293071299167
1977,"CO",24.4775267850833
1978,"CO",29.2690702104167
1979,"CO",34.1599614156667
1980,"CO",37.8807025441667
1981,"CO",39.9358728889167
1982,"CO",42.9017897916667
1983,"CO",44.2690205445
1984,"CO",44.64534159075
1985,"CO",44.6372326623333
1986,"CO",45.4812736715
1987,"CO",44.9334909939167
1988,"CO",43.6811555325
1989,"CO",43.7706605348333
1990,"CO",44.6305306093333
1991,"CO",45.9647110209167
1992,"CO",49.784416022
1993,"CO",54.9989130979167
1994,"CO",61.25744297275
1995,"CO",65.6829409896667
1996,"CO",69.4490602418333
1997,"CO",73.30037285625
1998,"CO",78.1238601715833
1999,"CO",85.7428400429167
2000,"CO",95.6529377450833
2001,"CO",103.736161436667
2002,"CO",108.2492279225
2003,"CO",110.490968176667
2004,"CO",114.358502903333
2005,"CO",119.144287611667
2006,"CO",122.350954556667
2007,"CO",121.8931757675
2008,"CO",116.6482191925
2009,"CO",115.224669248333
2010,"CO",113.692972348333
2011,"CO",109.9910553575
2012,"CO",115.780385756667
2013,"CO",127.01929896
2014,"CO",137.727622498333
2015,"CO",152.483857998333
2016,"CO",167.2543427925
2017,"CO",182.518209586667
2018,"CO",197.277633698333
2019,"CO",206.464476575
2020,"CO",220.612661929167
2021,"CO",256.086008797778
1975,"CT",25.3092120331667
1976,"CT",26.7937005845
1977,"CT",28.7426349819167
1978,"CT",32.7322992496667
1979,"CT",37.2343775293333
1980,"CT",38.6900774179167
1981,"CT",41.442778267
1982,"CT",41.97371990625
1983,"CT",44.3365498323333
1984,"CT",49.58878836075
1985,"CT",57.571772424
1986,"CT",71.6716428386667
1987,"CT",89.9858287260833
1988,"CT",97.4278175371667
1989,"CT",96.2276125959167
1990,"CT",91.39124961125
1991,"CT",85.6685334511667
1992,"CT",82.9096540856667
1993,"CT",78.88911628025
1994,"CT",78.1612119983333
1995,"CT",77.7267657976667
1996,"CT",77.7799636385
1997,"CT",78.8621364571667
1998,"CT",82.08594067825
1999,"CT",88.4540366285
2000,"CT",96.4774647340833
2001,"CT",104.714114415833
2002,"CT",116.278572956667
2003,"CT",128.354071034167
2004,"CT",142.3835147875
2005,"CT",156.7248087
2006,"CT",161.901634894167
2007,"CT",160.2136581325
2008,"CT",151.3814649875
2009,"CT",141.195357188333
2010,"CT",138.156445569167
2011,"CT",132.715423193333
2012,"CT",128.9631435725
2013,"CT",130.296028465
2014,"CT",130.810082519167
2015,"CT",131.362446056667
2016,"CT",131.809544583333
2017,"CT",135.08345035
2018,"CT",138.522285643333
2019,"CT",140.706476825833
2020,"CT",149.582972905
2021,"CT",172.897685634444
1975,"DC",19.65306179275
1976,"DC",21.9810112716667
1977,"DC",25.5843167579167
1978,"DC",30.5065030961667
1979,"DC",36.1560634045833
1980,"DC",39.85609338025
1981,"DC",41.2278930949167
1982,"DC",39.802029539
1983,"DC",39.2666690074167
1984,"DC",42.3640605141667
1985,"DC",44.1404991423333
1986,"DC",47.4752266651667
1987,"DC",53.69159870825
1988,"DC",62.6104655388333
1989,"DC",69.8454467555
1990,"DC",72.6152533684167
1991,"DC",71.8000939673333
1992,"DC",72.4249448985833
1993,"DC",69.5418860590833
1994,"DC",68.2203351224167
1995,"DC",67.1977874854167
1996,"DC",69.1063365865833
1997,"DC",69.6728880948333
1998,"DC",73.9014495019167
1999,"DC",82.2381100268333
2000,"DC",94.04844462075
2001,"DC",110.934711403333
2002,"DC",130.313032021667
2003,"DC",152.687166399167
2004,"DC",185.29341982
2005,"DC",221.4806339775
2006,"DC",230.666592801667
2007,"DC",233.420636045
2008,"DC",224.443210700833
2009,"DC",217.480102038333
2010,"DC",223.349419481667
2011,"DC",229.416636495
2012,"DC",243.6075060675
2013,"DC",272.182781061667
2014,"DC",289.3055532625
2015,"DC",306.715560505
2016,"DC",321.474310709167
2017,"DC",335.428253038333
2018,"DC",350.084810125
2019,"DC",359.866057858333
2020,"DC",377.100820518333
2021,"DC",399.542655148889
1975,"DE",28.181763235
1976,"DE",28.7536447829167
1977,"DE",29.8801477086667
1978,"DE",31.6864848336667
1979,"DE",33.9964892815
1980,"DE",38.8264496904167
1981,"DE",39.35246176925
1982,"DE",40.6379737365833
1983,"DE",44.4440502568333
1984,"DE",47.9645009755
1985,"DE",51.8994837648333
1986,"DE",57.9242863563333
1987,"DE",65.2937625950833
1988,"DE",72.3641701686667
1989,"DE",79.2493387113333
1990,"DE",82.0933240831667
1991,"DE",82.2574134144167
1992,"DE",82.2034645915833
